Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2018,Rams,,cooper kupp,placed on ir with torn acl in left knee,,,,11/19/2018,
2018,Redskins,,alex smith d,"placed on ir with fractured fibula, tibia in right leg",,,,11/19/2018,
2018,Bengals,,preston brown b 1992-10-27,placed on ir with knee injury,,,,11/20/2018,
2018,Broncos,,max garcia,placed on ir with with torn acl in knee,,,,11/20/2018,
2018,Colts,,dj killings,placed on ir with ankle injury,,,,11/20/2018,
2018,Buccaneers,,oj howard,"placed on ir with ankle, foot injury",,,,11/21/2018,
2018,Chargers,,corey liuget,placed on ir with knee injury,,,,11/21/2018,
2018,Bengals,,josh tupou,placed on ir with torn pectoral muscle,,,,11/22/2018,
2018,Bengals,,adolphus washington,placed on ir with knee injury,,,,11/23/2018,
2018,Packers,,nick perry joel,placed on ir with knee injury,,,,11/24/2018,
2018,Bengals,,andy dalton,placed on ir with right thumb injury,,,,11/26/2018,
2018,Cardinals,,josh bynes,placed on ir with thumb injury,,,,11/26/2018,
2018,Cardinals,,phil dawson,placed on ir with right hip injury,,,,11/26/2018,
2018,Giants,,quadree henderson,placed on ir with shoulder injury,,,,11/26/2018,
2018,Lions,,marvin jones jr,placed on ir with knee injury,,,,11/26/2018,
2018,49ers,,jimmie ward,placed on ir with fractured forearm,,,,11/27/2018,
2018,Broncos,,jeff heuerman,"placed on ir with fractured ribs, bruised lung",,,,11/27/2018,
2018,Colts,,jack doyle,placed on ir with kidney ailment,,,,11/27/2018,
2018,Jaguars,,andrew norwell,placed on ir with ankle injury,,,,11/27/2018,
2018,Panthers,,damiere byrd,placed on ir with fractured arm,,,,11/27/2018,
2018,Raiders,,jacquies smith,placed on ir with achilles injury,,,,11/27/2018,
2018,Redskins,,cassanova mckinzy,placed on ir with torn pectoral muscle,,,,11/27/2018,
2018,Vikings,,andrew sendejo,placed on ir with groin injury,,,,11/27/2018,
2018,Dolphins,,jakeem grant,placed on ir with achilles injury,,,,11/28/2018,
2018,Falcons,,derrick shelby,placed on ir with groin injury,,,,11/28/2018,
2018,Jets,,james carpenter,placed on ir with shoulder injury,,,,11/28/2018,
2018,Bengals,,jake fisher,placed on ir with back injury,,,,11/29/2018,
2018,Cardinals,,jeremy vujnovich,placed on ir with hamstring injury,,,,11/29/2018,
2018,Raiders,,leon hall b,placed on ir with back injury,,,,11/30/2018,
2018,Jets,,marcus maye,"placed on ir with shoulder, thumb injury",,,,12/1/2018,
2018,Packers,,mike daniels,placed on ir with foot injury,,,,12/1/2018,
2018,Packers,,trevor davis,placed on ir with hamstring injury,,,,12/1/2018,
2018,Ravens,,alex collins,placed on ir with foot injury,,,,12/1/2018,
2018,Seahawks,,cj prosise,placed on ir with abdominal injury,,,,12/1/2018,
2018,Cardinals,,christian kirk davon,placed on ir with fractured foot,,,,12/3/2018,
2018,Bills,,russell bodine,placed on ir with leg injury,,,,12/4/2018,
2018,Cardinals,,mike iupati,placed on ir with knee injury,,,,12/4/2018,
2018,Cardinals,,olsen pierre,placed on ir with knee injury,,,,12/4/2018,
2018,Dolphins,,aj derby,"placed on ir with foot, knee injury",,,,12/4/2018,
2018,Falcons,,josh harris ii b 1989-04-27,placed on ir with hip injury,,,,12/4/2018,
2018,Packers,,ibraheim campbell,placed on ir with undisclosed injury,,,,12/4/2018,
2018,Redskins,,jonathan cooper,placed on ir with torn biceps,,,,12/4/2018,
2018,Steelers,,justin hunter,placed on ir with shoulder injury,,,,12/4/2018,
2018,Bengals,,aj green adriel jeremiah,placed on ir with toe injury,,,,12/5/2018,
2018,Broncos,,emmanuel sanders,placed on ir with torn left achilles tendon,,,,12/5/2018,
2018,Cardinals,,dj humphries,placed on ir with knee injury,,,,12/5/2018,
2018,Lions,,jalen reeves-maybin,placed on ir with neck injury,,,,12/5/2018,
2018,Packers,,kevin king,placed on ir with hamstring injury,,,,12/5/2018,
2018,Packers,,tra carson,placed on ir with rib injury,,,,12/5/2018,
2018,Panthers,,greg olsen,placed on ir with foot injury,,,,12/5/2018,
2018,Raiders,,martavis bryant,placed on ir with knee injury,,,,12/5/2018,
2018,Raiders,,reggie nelson,placed on ir with shoulder injury,,,,12/5/2018,
2018,Raiders,,shilique calhoun,placed on ir with neck injury,,,,12/5/2018,
2018,Redskins,,quinton dunbar,placed on ir with shin injury,,,,12/5/2018,
2018,Redskins,,trey quinn,placed on ir with ankle injury,,,,12/5/2018,
2018,49ers,,dekoda watson,placed on ir with torn calf muscle,,,,12/6/2018,
2018,Giants,,landon collins,placed on ir with torn rotator cuff in shoulder,,,,12/6/2018,
2018,Panthers,,brendan mahon,placed on ir with concussion,,,,12/6/2018,
2018,Panthers,,amini silatolu,placed on ir with knee injury,,,,12/7/2018,
2018,Browns,,pharaoh brown,placed on ir with shoulder injury,,,,12/8/2018,
2018,Eagles,,jalen mills,placed on ir with foot injury,,,,12/8/2018,
2018,Packers,,raven greene,placed on ir with ankle injury,,,,12/8/2018,
2018,Texans,,brennan scarlett,placed on ir with ankle injury,,,,12/8/2018,
2018,Bills,,matt milano,placed on ir with fractured fibula in leg,,,,12/11/2018,
2018,Bills,,taron johnson,placed on ir with shoulder injury,,,,12/11/2018,
2018,Buccaneers,,kevin minter,placed on ir with calf injury,,,,12/11/2018,
2018,Cardinals,,robert nkemdiche,placed on ir with knee injury,,,,12/11/2018,
2018,Cardinals,,thurston armbrister,placed on ir with hamstring injury,,,,12/11/2018,
2018,Eagles,,corey clement,placed on ir with right knee injury,,,,12/11/2018,
2018,Eagles,,josh sweat,placed on ir with ankle injury,,,,12/11/2018,
2018,Lions,,ezekiel ansah  ziggy ansah,placed on ir with shoulder injury,,,,12/11/2018,
2018,Lions,,michael roberts,placed on ir with shoulder injury,,,,12/11/2018,
2018,Raiders,,jon feliciano,placed on ir with left calf injury,,,,12/11/2018,
2018,Rams,,dominique hatfield,placed on ir with ankle injury,,,,12/11/2018,
2018,Rams,,malcolm brown,placed on ir with clavicle injury,,,,12/11/2018,
2018,Saints,,michael ola,placed on ir with ankle injury,,,,12/11/2018,
2018,Titans,,jack conklin,placed on ir with knee injury,,,,12/11/2018,
2018,Titans,,jonnu smith,placed on ir with knee injury,,,,12/11/2018,
2018,49ers,,pierre garcon,placed on ir with knee injury,,,,12/12/2018,
2018,Bears,,bryce callahan,placed on ir with fractured left foot,,,,12/12/2018,
2018,Dolphins,,jake brendel,placed on ir with calf injury,,,,12/12/2018,
2018,Packers,,byron bell,placed on ir with knee injury,,,,12/12/2018,
2018,Seahawks,,mychal kendricks,placed on ir with knee injury,,,,12/12/2018,
2018,Browns,,orson charles,placed on ir with ankle injury,,,,12/13/2018,
2018,Chargers,,trevor williams,placed on ir with knee injury,,,,12/13/2018,
2018,Eagles,,jordan mailata,placed on ir with back injury,,,,12/14/2018,
2018,Jaguars,,josh walker,placed on ir with ankle injury,,,,12/14/2018,
2018,Jaguars,,leon jacobs,placed on ir with quadriceps injury,,,,12/14/2018,
2018,Jets,,isaiah crowell,placed on ir with toe injury,,,,12/14/2018,
2018,Redskins,,nick sundberg,placed on ir with back injury,,,,12/15/2018,
2018,Steelers,,marcus gilbert christopher,placed on ir with knee injury,,,,12/15/2018,
2018,Bengals,,malik jefferson,placed on ir with foot injury,,,,12/18/2018,
2018,Bills,,marcus murphy b 1991-10-03,placed on ir with dislocated elbow,,,,12/18/2018,
2018,Buccaneers,,alan cross,placed on ir with shoulder injury,,,,12/18/2018,
2018,Buccaneers,,justin evans b 1995-08-26,placed on ir with toe injury,,,,12/18/2018,
2018,Colts,,al woods joseph,placed on ir with foot injury,,,,12/18/2018,
2018,Colts,,skai moore,placed on ir with neck injury,,,,12/18/2018,
2018,Falcons,,ito smith,placed on ir with knee injury,,,,12/18/2018,
2018,Giants,,antonio hamilton,placed on ir with quadriceps injury,,,,12/18/2018,
2018,Jets,,rishard matthews,placed on ir with hamstring injury,,,,12/18/2018,
2018,Lions,,da'shawn hand,placed on ir with knee injury,,,,12/18/2018,
2018,Packers,,aaron jones larae,placed on ir with knee injury,,,,12/18/2018,
2018,Raiders,,gabe jackson,"placed on ir with ankle, elbow injuries",,,,12/18/2018,
2018,Redskins,,joshua holsey,placed on ir with torn acl in knee,,,,12/18/2018,
2018,Seahawks,,jordan simmons,placed on ir with knee injury,,,,12/18/2018,
2018,Titans,,logan ryan,placed on ir with fractured fibula in left leg,,,,12/18/2018,
2018,49ers,,ahkello witherspoon,placed on ir with knee injury,,,,12/19/2018,
2018,Broncos,,chris harris jr,placed on ir with chipped fibula in right leg,,,,12/19/2018,
2018,Dolphins,,frank gore sr,placed on ir with foot injury,,,,12/19/2018,
2018,Jets,,brandon shell,placed on ir with left knee injury,,,,12/19/2018,
2018,Lions,,kerryon johnson,placed on ir with knee injury,,,,12/19/2018,
2018,Panthers,,graham gano,placed on ir with left knee injury,,,,12/19/2018,
2018,Redskins,,danny johnson b 1995-11-17,placed on ir with finger injury,,,,12/19/2018,
2018,Redskins,,montae nicholson,placed on ir / non-football injury list with concussion,,,,12/19/2018,
2018,Jets,,jeremiah attaochu,placed on ir with concussion,,,,12/20/2018,
2018,Panthers,,shaq thompson,placed on ir with shoulder injury,,,,12/20/2018,
2018,Titans,,david fluellen,placed on ir with knee injury,,,,12/20/2018,
2018,Redskins,,austin howard,placed on ir with hip injury,,,,12/21/2018,
2018,Cowboys,,geoff swaim,placed on ir with wrist injury,,,,12/22/2018,
2018,Jaguars,,jermey parnell,placed on ir with knee injury,,,,12/22/2018,
2018,Jaguars,,ronnie harrison jr,placed on ir with knee injury,,,,12/22/2018,
2018,Lions,,bruce ellington,placed on ir with hamstring injury,,,,12/22/2018,
2018,Lions,,charles washington b 1993-03-10,placed on ir with hamstring injury,,,,12/22/2018,
2018,Packers,,will redmond,placed on ir with shoulder injury,,,,12/22/2018,
2018,49ers,,jaquiski tartt,placed on ir with shoulder injury,,,,12/24/2018,
2018,Raiders,,daryl worley,placed on ir with shoulder injury,,,,12/24/2018,
2018,Texans,,brian peters,placed on ir with ankle injury,,,,12/24/2018,
2018,Texans,,demaryius thomas,placed on ir with achilles injury,,,,12/24/2018,
2018,Texans,,kayvon webster,placed on ir with quadriceps injury,,,,12/24/2018,
2018,Titans,,cole wick,placed on ir with shoulder injury,,,,12/24/2018,
2018,Titans,,jurrell casey,placed on ir with knee injury,,,,12/24/2018,
2018,Cardinals,,korey cunningham,placed on ir with foot injury,,,,12/25/2018,
2018,Packers,,kenny clark duane,placed on ir with elbow injury,,,,12/25/2018,
2018,Panthers,,taylor heinicke,placed on ir with left elbow injury,,,,12/26/2018,
2018,Jets,,eric tomlinson,placed on ir with foot injury,,,,12/27/2018,
2018,Redskins,,colt mccoy,placed on ir with fractured fibula in right leg,,,,12/27/2018,
2018,Redskins,,jordan reed,"placed on ir with ankle, foot injury",,,,12/27/2018,
2018,Bengals,,dre kirkpatrick,placed on ir with shoulder injury,,,,12/28/2018,
2018,Bengals,,jordan evans,placed on ir with ankle injury,,,,12/28/2018,
2018,Bengals,,tyler boyd,placed on ir with knee injury,,,,12/28/2018,
2018,Broncos,,andre holmes,placed on ir with ankle injury,,,,12/28/2018,
2018,Broncos,,phillip lindsay,placed on ir with surgery on wrist,,,,12/28/2018,
2018,Browns,,tanner vallejo,placed on ir with hamstring injury,,,,12/28/2018,
2018,Jaguars,,josh lambo,placed on ir with right groin injury,,,,12/28/2018,
2018,Jaguars,,josh wells,placed on ir with concussion,,,,12/28/2018,
2018,Lions,,a'shawn robinson,placed on ir with knee injury,,,,12/28/2018,
2018,Panthers,,kenjon barner,placed on ir with knee injury,,,,12/28/2018,
2018,Redskins,,maurice harris,placed on ir with concussion,,,,12/28/2018,
2018,Steelers,,chris boswell,placed on ir with lower body injury,,,,12/28/2018,
2018,49ers,,dante pettis,placed on ir with knee injury,,,,12/29/2018,
2018,49ers,,matt breida,placed on ir with ankle injury,,,,12/29/2018,
2018,Giants,,jawill davis,placed on ir with knee injury,,,,12/29/2018,
2018,Jets,,kevin pierre-louis,placed on ir with shoulder injury,,,,12/29/2018,
2018,Jets,,morris claiborne,placed on ir with shoulder injury,,,,12/29/2018,
2018,Jets,,quincy enunwa,placed on ir with ankle injury,,,,12/29/2018,
2018,Lions,,deshawn shead,placed on ir with knee injury,,,,12/29/2018,
2018,Seahawks,,delano hill,placed on ir with hip injury,,,,1/1/2019,
2018,Texans,,mike tyson,placed on ir with knee injury / concussion,,,,1/2/2019,
2018,Chargers,,jatavis brown,placed on ir with ankle injury,,,,1/7/2019,
2018,Cowboys,,allen hurns,placed on ir with left ankle injury,,,,1/8/2019,
2018,Patriots,,jacob hollister,placed on ir with hamstring injury,,,,1/8/2019,
2018,Colts,,mike mitchell bryant edward,placed on ir with calf injury,,,,1/9/2019,
2018,Saints,,simmie cobbs jr,placed on ir with knee injury,,,,1/12/2019,
2018,Saints,,sheldon rankins,placed on ir with torn left achilles tendon,,,,1/16/2019,
2019,Raiders,,isaiah crowell,placed on ir with torn achilles tendon,,,,5/3/2019,
2019,Giants,,nate harvey,placed on ir with knee injury,,,,5/5/2019,
2019,Chiefs,,jamire jordan,placed on ir with undisclosed injury,,,,5/8/2019,
2019,Texans,,duke ejiofor,placed on ir with torn achilles tendon,,,,5/10/2019,
2019,Jets,,charles tapper,placed on ir with undisclosed injury,,,,5/13/2019,
2019,Broncos,,nico falah,placed on ir with achilles injury,,,,5/14/2019,
2019,Buccaneers,,isaiah searight,placed on ir with hamstring injury,,,,5/14/2019,
2019,Dolphins,,connor hilland,placed on ir with undisclosed injury,,,,5/14/2019,
2019,Dolphins,,rob rolle,placed on ir with undisclosed injury,,,,5/14/2019,
2019,Falcons,,jeremy langford,placed on ir with undisclosed injury,,,,5/14/2019,
2019,Jaguars,,cody brown,placed on ir with undisclosed injury,,,,5/14/2019,
2019,Jaguars,,roderick young,placed on ir with undisclosed injury,,,,5/14/2019,
2019,Titans,,hamp cheevers,placed on ir with undisclosed injury,,,,5/14/2019,
2019,Giants,,jacob thieneman,placed on ir with knee injury,,,,5/15/2019,
2019,Dolphins,,ricardo louis,placed on ir with knee injury / neck injury,,,,5/16/2019,
2019,Bears,,jomon dotson,placed on ir with undisclosed injury,,,,5/17/2019,
2019,Dolphins,,isaac asiata,placed on ir with undisclosed injury,,,,5/17/2019,
2019,Redskins,,reuben foster,placed on ir with torn acl in left knee,,,,5/22/2019,
2019,Falcons,,steven means,placed on ir with torn achilles tendon,,,,5/23/2019,
2019,Raiders,,ryan yurachek,placed on ir with knee injury,,,,5/30/2019,
2019,Seahawks,,adam choice,placed on ir with undisclosed injury,,,,5/30/2019,
2019,Chargers,,trevion thompson,placed on ir with undisclosed injury,,,,6/4/2019,
2019,Colts,,javon patterson,placed on ir with torn acl in knee,,,,6/4/2019,
2019,Giants,,jeremiah harris,placed on ir with undisclosed injury,,,,6/5/2019,
2019,Panthers,,mose frazier,placed on ir with fractured arm,,,,6/5/2019,
2019,Colts,,iseoluwapo jegede  jegs jegede,placed on ir with undisclosed injury,,,,6/10/2019,
2019,Chargers,,koda martin,placed on ir with undisclosed injury,,,,7/1/2019,
2019,Jaguars,,dredrick snelson,placed on ir with undisclosed injury,,,,7/12/2019,
2019,Bills,,jeremiah sirles,placed on ir with fractured foot,,,,7/23/2019,
2019,Falcons,,jj wilcox,placed on ir with torn acl in knee,,,,7/24/2019,
2019,Buccaneers,,jalen allison,placed on ir with undisclosed injury,,,,7/25/2019,
2019,Buccaneers,,xavier ubosi,placed on ir with undisclosed injury,,,,7/25/2019,
2019,49ers,,erik magnuson,placed on ir with calf injury,,,,7/26/2019,
2019,Falcons,,benjamin michael bennett,placed on ir with fractured ankle,,,,7/26/2019,
2019,Giants,,corey coleman,placed on ir with torn acl in knee,,,,7/26/2019,
2019,Saints,,kenny bigelow jr,placed on ir with undisclosed injury,,,,7/26/2019,
2019,Seahawks,,emmanuel ellerbee,placed on ir with undisclosed injury,,,,7/26/2019,
2019,Texans,,isaac whitney,placed on ir with wrist injury,,,,7/28/2019,
2019,Browns,,lo falemaka,placed on ir with shoulder injury,,,,7/29/2019,
2019,Buccaneers,,troy niklas,placed on ir with leg injury,,,,7/29/2019,
2019,Chargers,,dylan cantrell,placed on ir with shoulder injury,,,,7/29/2019,
2019,Chargers,,fred trevillion,placed on ir with hamstring injury,,,,7/29/2019,
2019,Saints,,javorius allen  buck allen,placed on ir with undisclosed injury,,,,7/30/2019,
2019,Saints,,christian campbell  chris campbell 1995-11-27,placed on ir with undisclosed injury,,,,7/31/2019,
2019,Titans,,cameron batson,placed on ir with undisclosed injury,,,,7/31/2019,
2019,Buccaneers,,orion stewart,placed on ir with torn acl in knee,,,,8/1/2019,
2019,Packers,,javien hamilton,placed on ir with hamstring injury,,,,8/1/2019,
2019,Redskins,,casey dunn,placed on ir with undisclosed injury,,,,8/1/2019,
2019,Cowboys,,andrew dowell,placed on ir with hamstring injury,,,,8/2/2019,
2019,Jaguars,,michael colubiale,placed on ir with concussion,,,,8/2/2019,
2019,Jaguars,,taj mcgowan,placed on ir with knee injury,,,,8/2/2019,
2019,Panthers,,brandon chubb,placed on ir with knee injury,,,,8/2/2019,
2019,Panthers,,dorian johnson,placed on ir with undisclosed injury,,,,8/2/2019,
2019,Steelers,,herb waters,placed on ir with undisclosed injury,,,,8/2/2019,
2019,49ers,,kapron lewis-moore,placed on ir with groin injury,,,,8/3/2019,
2019,Broncos,,billy winn,placed on ir with triceps injury,,,,8/3/2019,
2019,Browns,,blake jackson b 1994-03-07,placed on ir with knee injury,,,,8/3/2019,
2019,Chargers,,cole toner,placed on ir with undisclosed injury,,,,8/3/2019,
2019,Chargers,,tre'von johnson,placed on ir with undisclosed injury,,,,8/3/2019,
2019,Giants,,mark mclaurin,placed on ir with fractured foot,,,,8/3/2019,
2019,Bears,,josh simmons,placed on ir with undisclosed injury,,,,8/4/2019,
2019,Colts,,billy brown b 1993-03-20,placed on ir with undisclosed injury,,,,8/4/2019,
2019,Giants,,alex jenkins,placed on ir with calf injury,,,,8/4/2019,
2019,Jets,,temuchin hodges  bucky hodges,placed on ir with hamstring injury,,,,8/4/2019,
2019,Saints,,rob kelley,placed on ir with undisclosed injury,,,,8/4/2019,
