Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2010,Buccaneers,,kareem huggins,placed on ir with torn acl in right knee,,,,10/19/2010,
2010,Colts,,brandon king marico,placed on ir with hamstring injury,,,,10/19/2010,
2010,Browns,,robaire smith,placed on ir with back injury,,,,10/20/2010,
2010,Browns,,tony pashos,placed on ir with ankle injury,,,,10/20/2010,
2010,Saints,,randall gay,placed on ir with concussion,,,,10/20/2010,
2010,Dolphins,,jared odrick,placed on ir with left foot injury,,,,10/22/2010,
2010,Chargers,,kion wilson,placed on ir with ankle injury,,,,10/23/2010,
2010,Ravens,,jared gaither,placed on ir with back injury,,,,10/23/2010,
2010,Colts,,dallas clark,placed on ir with wrist injury,,,,10/25/2010,
2010,Texans,,demeco ryans,placed on ir with torn left achilles tendon,,,,10/25/2010,
2010,Bengals,,adam jones  pacman jones,placed on ir with neck injury,,,,10/26/2010,
2010,Jaguars,,eben britton,placed on ir with shoulder injury,,,,10/26/2010,
